"COD_NUC","COD_ACC","RATEIZZAZIONE"
"001709","0004","A"
"001726","0004","A"
"000016","0003","A"
"001589","0004","A"
"001590","0004","A"
"001591","0004","A"
"001592","0004","A"
"000002","0014","A"
"000003","0014","A"
"001631","0004","A"
"001632","0004","A"
"001638","0004","A"
"001639","0004","A"
"001640","0004","A"
"001641","0004","A"
"001642","0004","A"
"001713","0004","A"
"001714","0004","A"
"001715","0004","A"
"001717","0004","A"
"001716","0004","A"
"000214","0004","A"
"000215","0004","A"
"000216","0004","A"
"000217","0004","A"
"000218","0004","A"
"000219","0004","A"
"000220","0004","A"
"000221","0004","A"
"000222","0004","A"
"000223","0004","A"
"000224","0004","A"
"000225","0004","A"
"000226","0004","A"
"000227","0004","A"
"000228","0004","A"
"000229","0004","A"
"000230","0004","A"
"000231","0004","A"
"000232","0004","A"
"000233","0004","A"
"000234","0004","A"
"000235","0004","A"
"000236","0004","A"
"000237","0004","A"
"000238","0004","A"
"000239","0004","A"
"000240","0004","A"
"000241","0004","A"
"000242","0004","A"
"000243","0004","A"
"000244","0004","A"
"000245","0004","A"
"000246","0004","A"
"000247","0004","A"
"000248","0004","A"
"000249","0004","A"
"000250","0004","A"
"000251","0004","A"
"000252","0004","A"
"000253","0004","A"
"000254","0004","A"
"000255","0004","A"
"000256","0004","A"
"000257","0004","A"
"000258","0004","A"
"000259","0004","A"
"000260","0004","A"
"000261","0004","A"
"000262","0004","A"
"000263","0004","A"
"000264","0004","A"
"000265","0004","A"
"000266","0004","A"
"000267","0004","A"
"000268","0004","A"
"000269","0004","A"
"000270","0004","A"
"000271","0004","A"
"000272","0004","A"
"000273","0004","A"
"000274","0004","A"
"000275","0004","A"
"000276","0004","A"
"001616","0004","A"
"001617","0004","A"
"001618","0004","A"
"001619","0004","A"
"001620","0004","A"
"001621","0004","A"
"001622","0004","A"
"001623","0004","A"
"001624","0004","A"
"001625","0004","A"
"001626","0004","A"
"001627","0004","A"
"001628","0004","A"
"001629","0004","A"
"001630","0004","A"
"001661","0004","A"
"001710","0004","A"
"001711","0004","A"
"001712","0004","A"
"000957","0004","A"
"000958","0004","A"
"000960","0004","A"
"000961","0004","A"
"001033","0004","A"
"001034","0004","A"
"001035","0004","A"
"001036","0004","A"
"001037","0004","A"
"001038","0004","A"
"001039","0004","A"
"001040","0004","A"
"001041","0004","A"
"001042","0004","A"
"001043","0004","A"
"001044","0004","A"
"001045","0004","A"
"001046","0004","A"
"001047","0004","A"
"001048","0004","A"
"001049","0004","A"
"001050","0004","A"
"001051","0004","A"
"001052","0004","A"
"001069","0004","A"
"001070","0004","A"
"001071","0004","A"
"001072","0004","A"
"001073","0004","A"
"001074","0004","A"
"001075","0004","A"
"001076","0004","A"
"001077","0004","A"
"001078","0004","A"
"001079","0004","A"
"001080","0004","A"
"001081","0004","A"
"001082","0004","A"
"001083","0004","A"
"001084","0004","A"
"001090","0004","A"
"001091","0004","A"
"001092","0004","A"
"001093","0004","A"
"001094","0004","A"
"001095","0004","A"
"001727","0004","A"
"001728","0004","A"
"001729","0004","A"
"000007","0004","A"
"001647","0004","A"
"001648","0004","A"
"001649","0004","A"
"001650","0004","A"
"000763","0004","A"
"000764","0004","A"
"000765","0004","A"
"000766","0004","A"
"000767","0004","A"
"000768","0004","A"
"000769","0004","A"
"000770","0004","A"
"000771","0004","A"
"000772","0004","A"
"000773","0004","A"
"000774","0004","A"
"000775","0004","A"
"000776","0004","A"
"000777","0004","A"
"000778","0004","A"
"000779","0004","A"
"000780","0004","A"
"000781","0004","A"
"000782","0004","A"
"000783","0004","A"
"000784","0004","A"
"000785","0004","A"
"000786","0004","A"
"000787","0004","A"
"000788","0004","A"
"000789","0004","A"
"000790","0004","A"
"000791","0004","A"
"000792","0004","A"
"000793","0004","A"
"000794","0004","A"
"000795","0004","A"
"000796","0004","A"
"000797","0004","A"
"000798","0004","A"
"000799","0004","A"
"000800","0004","A"
"000801","0004","A"
"000802","0004","A"
"000803","0004","A"
"000804","0004","A"
"000805","0004","A"
"000806","0004","A"
"000807","0004","A"
"000808","0004","A"
"000809","0004","A"
"000810","0004","A"
"000811","0004","A"
"000812","0004","A"
"000813","0004","A"
"000814","0004","A"
"000815","0004","A"
"000816","0004","A"
"000817","0004","A"
"000818","0004","A"
"000819","0004","A"
"000820","0004","A"
"000821","0004","A"
"000822","0004","A"
"000823","0004","A"
"000824","0004","A"
"000825","0004","A"
"000826","0004","A"
"000827","0004","A"
"000828","0004","A"
"000829","0004","A"
"000830","0004","A"
"000831","0004","A"
"000832","0004","A"
"000833","0004","A"
"000834","0004","A"
"000835","0004","A"
"000836","0004","A"
"000837","0004","A"
"000838","0004","A"
"000839","0004","A"
"000840","0004","A"
"000841","0004","A"
"000842","0004","A"
"000843","0004","A"
"000844","0004","A"
"000845","0004","A"
"000846","0004","A"
"000847","0004","A"
"000848","0004","A"
"000849","0004","A"
"000850","0004","A"
"000851","0004","A"
"000852","0004","A"
"000853","0004","A"
"000854","0004","A"
"000855","0004","A"
"000856","0004","A"
"000857","0004","A"
"000858","0004","A"
"000859","0004","A"
"000860","0004","A"
"000861","0004","A"
"000862","0004","A"
"000863","0004","A"
"000864","0004","A"
"000865","0004","A"
"000866","0004","A"
"000867","0004","A"
"000868","0004","A"
"000869","0004","A"
"000870","0004","A"
"000871","0004","A"
"000872","0004","A"
"000873","0004","A"
"000874","0004","A"
"000875","0004","A"
"000876","0004","A"
"000877","0004","A"
"000878","0004","A"
"000879","0004","A"
"000880","0004","A"
"000881","0004","A"
"000882","0004","A"
"000883","0004","A"
"000011","0003","A"
"000002","0002","A"
"000003","0002","A"
"000004","0001","A"
"000005","0001","A"
"000006","0001","A"
"000001","0002","A"
"000008","0003","A"
"000010","0003","A"
"000012","0003","A"
"000018","0003","A"
"000019","0003","A"
"000047","0003","A"
"000048","0003","A"
"000045","0003","A"
"000044","0003","A"
"000046","0003","A"
"000042","0003","A"
"000041","0003","A"
"000043","0003","A"
"000039","0003","A"
"000038","0003","A"
"000040","0003","A"
"000007","0003","A"
"000009","0003","A"
"000015","0003","A"
"000912","0004","A"
"000013","0003","A"
"000014","0003","A"
"000017","0003","A"
"000029","0003","A"
"000031","0003","A"
"000032","0003","A"
"000033","0003","A"
"000913","0004","A"
"000035","0003","A"
"000036","0003","A"
"000037","0003","A"
"000146","0004","A"
"000143","0004","A"
"000144","0004","A"
"000145","0004","A"
"000147","0004","A"
"000148","0004","A"
"000149","0004","A"
"000150","0004","A"
"000041","0004","A"
"000018","0004","A"
"000019","0004","A"
"000020","0004","A"
"000021","0004","A"
"000022","0004","A"
"000023","0004","A"
"000024","0004","A"
"000025","0004","A"
"000026","0004","A"
"000027","0004","A"
"000028","0004","A"
"000050","0004","A"
"000051","0004","A"
"000052","0004","A"
"000053","0004","A"
"000054","0004","A"
"000055","0004","A"
"000056","0004","A"
"000057","0004","A"
"000058","0004","A"
"000059","0004","A"
"000060","0004","A"
"000061","0004","A"
"000062","0004","A"
"000063","0004","A"
"000064","0004","A"
"000065","0004","A"
"000066","0004","A"
"000067","0004","A"
"000068","0004","A"
"000069","0004","A"
"000070","0004","A"
"000071","0004","A"
"000072","0004","A"
"000073","0004","A"
"000074","0004","A"
"000075","0004","A"
"000076","0004","A"
"000077","0004","A"
"000078","0004","A"
"000884","0004","A"
"000914","0004","A"
"000915","0004","A"
"000916","0004","A"
"000917","0004","A"
"000918","0004","A"
"000919","0004","A"
"000920","0004","A"
"000921","0004","A"
"000922","0004","A"
"000923","0004","A"
"000924","0004","A"
"000925","0004","A"
"000926","0004","A"
"000927","0004","A"
"000928","0004","A"
"000929","0004","A"
"000930","0004","A"
"000931","0004","A"
"000932","0004","A"
"000933","0004","A"
"000934","0004","A"
"000935","0004","A"
"000936","0004","A"
"000937","0004","A"
"000938","0004","A"
"000954","0004","A"
"000955","0004","A"
"000956","0004","A"
"000959","0004","A"
"000962","0004","A"
"000963","0004","A"
"000964","0004","A"
"001375","0004","A"
"001376","0004","A"
"001377","0004","A"
"001378","0004","A"
"001379","0004","A"
"001380","0004","A"
"001381","0004","A"
"001382","0004","A"
"001383","0004","A"
"001384","0004","A"
"001385","0004","A"
"001386","0004","A"
"001387","0004","A"
"001388","0004","A"
"001389","0004","A"
"001390","0004","A"
"001391","0004","A"
"001392","0004","A"
"001393","0004","A"
"001394","0004","A"
"001395","0004","A"
"001396","0004","A"
"001397","0004","A"
"001398","0004","A"
"001399","0004","A"
"001400","0004","A"
"001401","0004","A"
"001402","0004","A"
"001403","0004","A"
"000008","0004","A"
"000009","0004","A"
"000010","0004","A"
"000011","0004","A"
"000012","0004","A"
"000013","0004","A"
"000014","0004","A"
"000015","0004","A"
"000016","0004","A"
"000017","0004","A"
"000029","0004","A"
"001404","0004","A"
"000031","0004","A"
"000032","0004","A"
"000033","0004","A"
"001405","0004","A"
"000035","0004","A"
"000036","0004","A"
"000037","0004","A"
"000038","0004","A"
"000039","0004","A"
"000040","0004","A"
"000042","0004","A"
"000043","0004","A"
"000044","0004","A"
"000045","0004","A"
"000046","0004","A"
"000047","0004","A"
"000048","0004","A"
"001406","0004","A"
"001407","0004","A"
"001585","0004","A"
"001501","0004","A"
"001502","0004","A"
"001503","0004","A"
"001504","0004","A"
"001505","0004","A"
"001506","0004","A"
"001507","0004","A"
"001508","0004","A"
"001509","0004","A"
"001510","0004","A"
"001511","0004","A"
"001512","0004","A"
"001513","0004","A"
"001514","0004","A"
"001515","0004","A"
"001516","0004","A"
"001517","0004","A"
"001518","0004","A"
"001519","0004","A"
"001520","0004","A"
"001521","0004","A"
"001522","0004","A"
"001523","0004","A"
"001524","0004","A"
"001525","0004","A"
"001526","0004","A"
"001527","0004","A"
"001528","0004","A"
"001529","0004","A"
"001530","0004","A"
"001531","0004","A"
"001532","0004","A"
"001533","0004","A"
"001534","0004","A"
"001535","0004","A"
"001536","0004","A"
"001537","0004","A"
"001538","0004","A"
"001539","0004","A"
"001540","0004","A"
"001541","0004","A"
"001542","0004","A"
"001543","0004","A"
"001544","0004","A"
"001545","0004","A"
"001546","0004","A"
"001557","0004","A"
"001558","0004","A"
"001559","0004","A"
"001560","0004","A"
"001561","0004","A"
"001562","0004","A"
"001563","0004","A"
"001564","0004","A"
"001565","0004","A"
"001566","0004","A"
"001573","0004","A"
"001574","0004","A"
"001575","0004","A"
"001576","0004","A"
"001577","0004","A"
"001578","0004","A"
"001586","0004","A"
"001587","0004","A"
"001588","0004","A"
"001597","0004","A"
"001598","0004","A"
"001599","0004","A"
"001600","0004","A"
"001651","0004","A"
"001652","0004","A"
"001654","0004","A"
"001655","0004","A"
"001656","0004","A"
"001722","0004","A"
"001658","0004","A"
"001659","0004","A"
"001723","0004","A"
"001657","0004","A"
"001724","0004","A"
"001725","0004","A"
"014576","0004","A"
"015057","0004","A"
"015178","0078","A"
"015179","0078","A"
"015180","0078","A"
"015181","0078","A"
"019390","0105","A"
"019712","0165","A"
"019923","0165","A"
"019924","0077","A"
"019925","0077","A"
"000003","0172","A"
"000002","0172","A"
"000001","0172","A"
"020661","0075","A"
"009380","0176","A"
"020864","0004","A"
"020865","0004","A"
"021078","0004","A"
"028539","0004","A"
"028961","0004","A"
"028962","0004","A"
"028964","0004","A"
"028965","0004","A"
"030267","0004","A"
"030268","0004","A"
"030269","0004","A"
"030270","0004","A"
"030271","0004","A"
"030319","0216","A"
"030321","0175","A"
"030322","0179","A"
"030346","0179","A"
"030347","0179","A"
"030349","0179","A"
"030700","0004","A"
"030710","0004","A"
"030711","0004","A"
"030712","0004","A"
"030956","0004","A"
"030957","0004","A"
"030958","0004","A"
"006962","0217","A"
"015059","0217","A"
"004869","0217","A"
"031599","0004","A"
"031600","0004","A"
"031601","0004","A"
"031602","0004","A"
"031603","0004","A"
"031604","0004","A"
"031605","0004","A"
"031606","0004","A"
"031607","0004","A"
"031608","0004","A"
"031609","0004","A"
"031610","0004","A"
"031611","0004","A"
"031612","0004","A"
"031613","0004","A"
"031736","0004","A"
"031863","0004","A"
"031871","0004","A"
"031967","0004","A"
"032028","0004","A"
"032029","0004","A"
"032031","0004","A"
"032075","0218","A"
"032136","0004","A"
"032185","0004","A"
"032223","0004","A"
"032224","0004","A"
"032225","0004","A"
"032226","0004","A"
"032227","0004","A"
"032228","0004","A"
"032271","0004","A"
"032713","0004","A"
"032756","0004","A"
"033105","0004","A"
"033106","0004","A"
"033107","0004","A"
"033366","0004","A"
"033367","0004","A"
"033368","0004","A"
"033369","0004","A"
"033370","0004","A"
"033371","0004","A"
"033372","0004","A"
"033373","0004","A"
"033801","0004","A"
"033997","0004","A"
"033998","0004","A"
"033999","0004","A"
"034010","0004","A"
"001762","0004","A"
"001763","0004","A"
"001764","0004","A"
"007275","0098","A"
"013880","0077","A"
"013881","0077","A"
"013882","0077","A"
"013883","0077","A"
"013884","0077","A"
"013885","0077","A"
"013886","0077","A"
"013887","0077","A"
"013888","0077","A"
"013889","0077","A"
"013890","0077","A"
"013891","0077","A"
"013892","0077","A"
"013893","0077","A"
"013894","0077","A"
"013895","0077","A"
"013896","0077","A"
"013897","0077","A"
"013898","0077","A"
"013899","0077","A"
"013900","0077","A"
"013901","0077","A"
"013902","0077","A"
"013903","0077","A"
"013904","0077","A"
"013905","0077","A"
"013906","0077","A"
"013907","0077","A"
"013908","0077","A"
"013909","0077","A"
"013910","0077","A"
"005114","0076","A"
"017043","0165","A"
"018359","0165","A"
"019452","0165","A"
"019929","0004","A"
"020197","0166","A"
"004907","0218","A"
"028979","0004","A"
"014088","0217","A"
"030970","0004","A"
"031348","0004","A"
"031351","0004","A"
"031352","0004","A"
"031353","0004","A"
"031354","0004","A"
"031355","0004","A"
"031356","0004","A"
"031357","0004","A"
"031358","0004","A"
"031359","0004","A"
"031361","0004","A"
"031362","0004","A"
"031363","0004","A"
"031364","0004","A"
"031562","0004","A"
"031563","0004","A"
"032232","0004","A"
"033576","0004","A"
"033583","0004","A"
"033584","0004","A"
"033812","0004","A"
"019493","0163","A"
"019517","0163","A"
"020379","0168","A"
"020380","0168","A"
"020381","0168","A"
"001744","0004","A"
"006951","0098","A"
"006952","0098","A"
"033554","0004","A"
"013803","0098","A"
"005987","0098","A"
"009543","0155","A"
"009494","0154","A"
"009495","0154","A"
"009496","0154","A"
"009542","0155","A"
"009546","0155","A"
"009547","0155","A"
"009548","0155","A"
"009549","0155","A"
"009550","0155","A"
"009544","0155","A"
"009545","0155","A"
"009552","0155","A"
"013830","0157","A"
"013831","0157","A"
"014723","0098","A"
"019755","0075","A"
"020939","0004","A"
"020940","0004","A"
"021039","0004","A"
"021048","0004","A"
"021087","0004","A"
"021088","0004","A"
"021089","0004","A"
"021427","0173","A"
"025972","0004","A"
"021428","0173","A"
"025971","0004","A"
"025973","0004","A"
"028084","0004","A"
"030024","0004","A"
"030025","0004","A"
"030026","0004","A"
"030027","0004","A"
"030029","0004","A"
"030030","0004","A"
"030031","0004","A"
"030032","0004","A"
"030033","0004","A"
"030034","0004","A"
"030035","0004","A"
"030036","0004","A"
"030038","0004","A"
"030275","0004","A"
"005972","0217","A"
"030866","0004","A"
"031125","0004","A"
"031126","0004","A"
"031127","0004","A"
"032018","0004","A"
"032019","0004","A"
"032175","0004","A"
"032176","0004","A"
"032177","0004","A"
"032178","0004","A"
"032179","0004","A"
"032180","0004","A"
"032181","0004","A"
"032182","0004","A"
"032186","0004","A"
"032187","0004","A"
"032210","0004","A"
"032211","0004","A"
"032212","0004","A"
"032213","0004","A"
"032214","0004","A"
"032215","0004","A"
"032216","0004","A"
"032217","0004","A"
"033392","0004","A"
"033555","0004","A"
"033753","0004","A"
"033754","0004","A"
"033755","0004","A"
"033756","0004","A"
"033757","0004","A"
"033758","0004","A"
"033760","0004","A"
"033761","0004","A"
"033875","0004","A"
"033876","0004","A"
"033877","0004","A"
"033878","0004","A"
"033879","0004","A"
"033953","0004","A"
"033954","0004","A"
"034030","0004","A"
"034031","0004","A"
"034032","0004","A"
"034047","0004","A"
"034048","0004","A"
"034049","0004","A"
"034188","0004","A"
"034426","0004","A"
"034427","0004","A"
"034518","0004","A"
"001746","0004","A"
"001747","0004","A"
"002217","0004","A"
"002218","0004","A"
"002219","0004","A"
"002220","0004","A"
"002221","0004","A"
"002222","0004","A"
"002223","0004","A"
"002224","0004","A"
"002225","0004","A"
"002226","0004","A"
"002227","0004","A"
"002228","0004","A"
"002229","0004","A"
"002230","0004","A"
"002437","0004","A"
"006005","0098","A"
"006006","0098","A"
"006010","0098","A"
"006011","0098","A"
"006015","0098","A"
"006021","0098","A"
"006027","0098","A"
"006028","0098","A"
"006029","0098","A"
"006907","0098","A"
"006908","0098","A"
"006909","0098","A"
"006910","0098","A"
"006911","0098","A"
"006912","0098","A"
"014243","0098","A"
"014244","0098","A"
"014267","0098","A"
"011922","0106","A"
"014614","0004","A"
"015070","0163","A"
"015074","0163","A"
"015075","0163","A"
"015078","0163","A"
"015080","0163","A"
"015081","0163","A"
"015082","0163","A"
"015083","0163","A"
"007836","0109","A"
"018694","0165","A"
"018697","0165","A"
"018699","0165","A"
"018701","0165","A"
"018746","0165","A"
"018749","0165","A"
"018752","0165","A"
"018754","0165","A"
"018757","0165","A"
"018760","0165","A"
"018762","0165","A"
"018764","0165","A"
"018765","0165","A"
"018766","0165","A"
"018838","0165","A"
"018840","0165","A"
"018843","0165","A"
"018844","0165","A"
"018846","0165","A"
"018848","0165","A"
"018850","0165","A"
"018853","0165","A"
"018857","0165","A"
"018858","0165","A"
"018860","0165","A"
"018861","0165","A"
"019463","0163","A"
"020729","0004","A"
"020730","0004","A"
"020732","0004","A"
"020770","0004","A"
"020771","0004","A"
"020808","0004","A"
"020811","0004","A"
"021085","0004","A"
"021093","0004","A"
"021094","0004","A"
"021095","0004","A"
"026633","0004","A"
"026634","0004","A"
"026635","0004","A"
"026636","0004","A"
"026637","0004","A"
"028067","0004","A"
"028068","0004","A"
"028509","0004","A"
"028510","0004","A"
"028513","0004","A"
"028514","0004","A"
"028595","0185","A"
"028596","0185","A"
"028646","0004","A"
"028647","0004","A"
"028648","0004","A"
"028649","0004","A"
"028650","0004","A"
"028679","0004","A"
"028680","0004","A"
"028681","0004","A"
"029314","0004","A"
"030106","0004","A"
"030107","0004","A"
"030109","0004","A"
"030110","0004","A"
"030111","0004","A"
"030112","0004","A"
"030113","0004","A"
"030114","0004","A"
"030115","0004","A"
"030116","0004","A"
"030117","0004","A"
"030118","0004","A"
"030119","0004","A"
"030120","0004","A"
"030121","0004","A"
"030127","0165","A"
"007020","0219","A"
"031477","0175","A"
"031718","0004","A"
"031719","0004","A"
"031968","0004","A"
"031969","0004","A"
"031970","0004","A"
"031971","0004","A"
"031972","0004","A"
"031973","0004","A"
"031974","0004","A"
"031975","0004","A"
"031976","0004","A"
"032189","0004","A"
"032249","0004","A"
"032250","0004","A"
"032262","0004","A"
"032263","0004","A"
"032775","0004","A"
"032878","0004","A"
"032879","0004","A"
"033140","0004","A"
"005996","0098","A"
"005997","0098","A"
"006000","0098","A"
"019530","0163","A"
"001917","0004","A"
"001918","0004","A"
"001919","0004","A"
"001920","0004","A"
"002248","0004","A"
"002409","0004","A"
"002424","0004","A"
"009542","0025","A"
"009543","0025","A"
"009544","0025","A"
"009545","0025","A"
"009546","0025","A"
"009547","0025","A"
"009548","0025","A"
"009549","0025","A"
"009550","0025","A"
"009551","0025","A"
"009552","0025","A"
"009497","0026","A"
"009498","0026","A"
"009499","0026","A"
"009500","0026","A"
"009501","0026","A"
"009502","0026","A"
"009503","0026","A"
"009504","0026","A"
"009505","0026","A"
"009506","0026","A"
"009507","0026","A"
"009508","0026","A"
"009509","0026","A"
"009510","0026","A"
"009511","0026","A"
"009512","0026","A"
"009513","0026","A"
"009514","0026","A"
"009515","0026","A"
"009516","0026","A"
"009517","0026","A"
"009518","0026","A"
"009519","0026","A"
"009520","0026","A"
"009521","0026","A"
"009522","0026","A"
"009523","0026","A"
"009524","0026","A"
"009525","0026","A"
"009526","0026","A"
"009527","0026","A"
"009528","0026","A"
"009529","0026","A"
"009530","0026","A"
"009531","0026","A"
"009532","0026","A"
"009533","0026","A"
"009534","0026","A"
"009535","0026","A"
"009536","0026","A"
"009537","0026","A"
"009538","0026","A"
"009539","0026","A"
"009540","0026","A"
"009541","0026","A"
"009381","0027","A"
"009382","0027","A"
"009383","0027","A"
"009384","0027","A"
"009385","0027","A"
"009386","0027","A"
"009387","0027","A"
"009388","0027","A"
"009389","0027","A"
"009390","0027","A"
"009391","0027","A"
"009392","0027","A"
"009393","0027","A"
"009394","0027","A"
"009395","0027","A"
"009396","0027","A"
"009397","0027","A"
"009398","0027","A"
"009399","0027","A"
"009400","0027","A"
"009401","0027","A"
"009402","0027","A"
"009403","0027","A"
"009404","0027","A"
"009405","0027","A"
"009406","0027","A"
"009407","0027","A"
"009408","0027","A"
"009409","0027","A"
"009410","0027","A"
"009411","0027","A"
"009412","0027","A"
"009413","0027","A"
"009414","0027","A"
"009415","0027","A"
"009416","0027","A"
"009417","0027","A"
"009418","0027","A"
"009419","0027","A"
"009420","0027","A"
"009421","0027","A"
"009422","0027","A"
"009423","0027","A"
"009424","0027","A"
"009425","0027","A"
"009426","0027","A"
"009427","0027","A"
"009428","0027","A"
"009429","0027","A"
"009430","0027","A"
"009431","0027","A"
"009432","0027","A"
"009433","0027","A"
"009434","0027","A"
"009435","0027","A"
"009436","0027","A"
"009437","0027","A"
"009438","0027","A"
"009439","0027","A"
"009440","0027","A"
"009441","0027","A"
"009442","0027","A"
"009443","0027","A"
"009444","0027","A"
"009445","0027","A"
"009446","0027","A"
"009447","0027","A"
"009448","0027","A"
"009449","0027","A"
"009450","0027","A"
"009451","0027","A"
"009452","0027","A"
"009453","0027","A"
"009454","0027","A"
"009455","0027","A"
"009456","0027","A"
"009457","0027","A"
"009458","0027","A"
"009459","0027","A"
"019584","0098","A"
"009461","0027","A"
"009462","0027","A"
"009463","0027","A"
"009464","0027","A"
"009465","0027","A"
"009466","0027","A"
"009467","0027","A"
"009468","0027","A"
"009469","0027","A"
"009470","0027","A"
"009471","0027","A"
"009472","0027","A"
"009473","0027","A"
"009474","0027","A"
"009475","0027","A"
"009476","0027","A"
"009477","0027","A"
"009478","0027","A"
"009479","0027","A"
"009480","0027","A"
"009481","0027","A"
"009482","0027","A"
"009483","0027","A"
"009484","0027","A"
"009485","0027","A"
"009486","0027","A"
"009487","0027","A"
"009488","0027","A"
"009489","0027","A"
"009494","0028","A"
"009495","0028","A"
"009496","0028","A"
"009555","0029","A"
"009556","0029","A"
"009490","0031","A"
"009492","0031","A"
"009493","0031","A"
"009553","0033","A"
"009554","0033","A"
"014568","0004","A"
"014569","0004","A"
"019586","0098","A"
"019752","0004","A"
"017749","0165","A"
"021381","0004","A"
"021382","0004","A"
"021383","0004","A"
"021384","0004","A"
"021385","0004","A"
"021386","0004","A"
"021387","0004","A"
"021388","0004","A"
"021389","0004","A"
"021390","0004","A"
"021391","0004","A"
"021392","0004","A"
"021393","0004","A"
"021394","0004","A"
"021395","0004","A"
"021396","0004","A"
"021397","0004","A"
"021398","0004","A"
"021400","0004","A"
"021401","0004","A"
"021402","0004","A"
"021403","0004","A"
"021404","0004","A"
"021405","0004","A"
"021406","0004","A"
"021407","0004","A"
"021408","0004","A"
"021409","0004","A"
"021410","0004","A"
"021411","0004","A"
"021412","0004","A"
"021413","0004","A"
"021414","0004","A"
"021415","0004","A"
"021416","0004","A"
"021418","0004","A"
"021419","0004","A"
"021420","0004","A"
